,Act_1,Act_2,Act_3,Act_4,Act_5,Act_6,Act_7,Act_8,Act_9,Act_10,Act_11,Act_12,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,prod_7,prod_8,prod_9,prod_10,prod_11,prod_12,prod_13,Marg_com,Trabajo,Capital,Hogares,Empresas,Gobierno,Cont_soc,Pres_soc,Imp_dir,Imp_prod,Imptos_Espec,IVA,Arancel,row,S-I,Var_Exis,Total
Act_1,,,,,,,,,,,,,20873.17577,0,11.96283817,0,0,0,18.85995843,0,0,2490.996294,0,0,0,,,,,,,,,,,,,,,,,23394.99486
Act_2,,,,,,,,,,,,,0,55884.72643,2611.78052,0,0,0,45.9731986,0,2.2593347,995.1493812,0,0,0,,,,,,,,,,,,,,,,,59539.88886
Act_3,,,,,,,,,,,,,220.8471371,328.4344368,85317.13186,405.0865007,0.000426,2986.096771,214.9318092,0,149.0532789,3072.182173,0,0,0,,,,,,,,,,,,,,,,,92693.7644
Act_4,,,,,,,,,,,,,0,0,88.86086605,14995.87762,19.75738696,127.8059842,32.58658358,0,43.92628844,652.1275728,0,0,0,,,,,,,,,,,,,,,,,15960.9423
Act_5,,,,,,,,,,,,,0,0,0,0,36910.10463,0,91.47808819,0,142.4371792,1.850798898,0,0,0,,,,,,,,,,,,,,,,,37145.8707
Act_6,,,,,,,,,,,,,0,0,568.7353483,0,0,53772.42189,341.21617,0,348.5456369,6409.583951,39.38099027,0,0,,,,,,,,,,,,,,,,,61479.88399
Act_7,,,,,,,,,,,,,0,0,0,0,0,262.1703964,45110.86697,0,123.5542431,1665.771451,4.231980227,0,0,,,,,,,,,,,,,,,,,47166.59504
Act_8,,,,,,,,,,,,,0,0,0,-3.41061E-16,0,7.58039545,102.0643093,20228.36519,463.9824049,1001.018893,2.274118635,0,0,,,,,,,,,,,,,,,,,21805.28531
Act_9,,,,,,,,,,,,,0,0,0,0,0,0,11.04923696,0,25564.57788,91.51664401,0,0,0,,,,,,,,,,,,,,,,,25667.14376
Act_10,,,,,,,,,,,,,0,0,0.100333461,0,0,84.87242921,249.2289366,0,103.1987985,36351.30817,0,0,0,,,,,,,,,,,,,,,,,36788.70867
Act_11,,,,,,,,,,,,,0,0,0.137854589,0,0,86.41255626,185.6283068,0,72.56579862,1150.911072,44193.77719,0,0,,,,,,,,,,,,,,,,,45689.43277
Act_12,,,,,,,,,,,,,0.346083655,0,7.845207659,219.8562319,0.265726232,0.061296837,510.6923464,0,58.8864903,56.23688124,35.77920273,15605.85294,0,,,,,,,,,,,,,,,,,16495.8224
prod_1,1957.332407,0.037337892,13598.84664,45.01031432,14.55877241,422.1983217,0,0.870137198,0,7.114191946,73.47215928,23.21045017,,,,,,,,,,,,,,,,,6824.8409,,0,,,,,,,,5714.046448,740.4563182,-135.4819468,29286.51246
prod_2,34.32274224,4834.076805,8443.895492,3744.254427,228.6853362,1.645558603,0.598685562,0.100050919,1.214710858,1.062160547,0.397646475,4.457126497,,,,,,,,,,,,,,,,,0,,0,,,,,,,,48890.02028,0,-341.2166572,65843.51437
prod_3,7755.247516,7449.344652,31021.72994,1414.088837,11651.64051,9749.028165,9106.096517,558.7637397,70.71830474,1780.177725,5758.745028,1217.533784,,,,,,,,,,,,,,,,,78911.97552,,151.6163704,,,,,,,,31372.72838,25242.90529,884.9985901,224097.3389
prod_4,243.6730671,3443.00573,2953.222203,1970.820922,239.228521,926.2219132,491.5151515,104.4925367,223.2732493,149.126406,518.3119409,742.8297966,,,,,,,,,,,,,,,,,4502.266865,,94.67712161,,,,,,,,0,0,0,16602.66542
prod_5,0,0,0,0,5296.46214,0,0,0,2913.123742,0,0,1.270990595,,,,,,,,,,,,,,,,,0,,0,,,,,,,,0,29904.47308,0,38115.32995
prod_6,100.6466552,435.8480718,486.4186192,1.868111807,293.1019919,1665.135872,655.1289911,16.60563695,0,193.2623342,176.2773814,107.267224,,,,,,,,,,,,,,,,,10983.19331,,846.1465883,,,,,,,,88.11226946,0,0,16049.01306
prod_7,1022.892727,1815.265426,4732.251701,532.5376535,882.47656,7279.456899,9875.088042,1127.622585,73.78536932,1511.324956,923.9725611,733.5151464,,,,,,,,,,,,,,,,,13940.98395,,13.78154416,,,,,,,,4050.455879,4148.348838,0,52663.75983
prod_8,271.4559519,429.8092976,721.185867,693.6150814,497.1261663,1503.121652,1776.1981,6936.463789,621.8687828,756.7575425,220.7849186,313.6625992,,,,,,,,,,,,,,,,,8315.795388,,269.7234158,,,,,,,,654.4336837,0,0,23982.00224
prod_9,58.53339689,58.36826268,544.530634,57.03573545,126.5036586,3072.382418,943.9807824,619.0270865,429.8275886,842.6096425,1239.695666,258.1060033,,,,,,,,,,,,,,,,,19164.73809,,0,,,,,,,,49.61493057,141.0218486,0,27605.97574
prod_10,3410.855765,5893.719333,5217.523263,1393.95268,2459.252273,8304.05139,4806.780948,3732.501441,582.8852097,6469.487595,2912.241905,1405.398485,,,,,,,,,,,,,,,,,3224.875186,,87.15451529,,,,,,,,1733.075419,7281.219842,0,58914.97525
prod_11,9.127007198,5.695956981,20.02318832,0.002014145,14.59906781,43.29020273,159.0523155,30.09401397,0.148587734,5.207073733,2141.885285,50.89677321,,,,,,,,,,,,,,,,,20533.93716,,21973.42859,,,,,,,,12.09805358,0,0,44999.48529
prod_12,21.58430448,0,27.4511409,0,14.1723535,27.60999831,22.33761138,0.001893175,0,0,13.67096797,0,,,,,,,,,,,,,,,,,179.2870752,,15299.73759,,,,,,,,0,0,0,15605.85294
prod_13,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,372.5585066,,0,,,,,,,,1104.148994,0,0,1476.7075
Marg_com,,,,,,,,,,,,,5339.668027,293.8212781,37665.97003,3.42535E-18,0,-43312.24076,12.78143238,0,0,-2.80247E-17,0,0,0,,,,,,,,,,,,,,,,,2.24529E-12
Trabajo,2645.681335,3769.337388,8599.072253,1424.912864,8252.310821,17055.34175,8964.348001,6293.920925,727.1137533,11502.88353,24353.80764,9302.242054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102890.9723
Capital,5751.104337,31179.31701,15959.06841,4355.337496,6990.637936,10834.6186,11032.47702,1921.860494,18450.28356,13396.45366,7029.953431,2305.962004,,,,,,,,,,,,,,,,,,,,,,,,,,,10492,,,139699.074
Hogares,,,,,,,,,,,,,,,,,,,,,,,,,,,102890.9723,31833.51308,,18733.7577,23436.5281,,17381.8182,,,,,,,,,194276.5894
Empresas,,,,,,,,,,,,,,,,,,,,,,,,,,,,104825.881,,,,12575.17476,,,,,,,,,,117401.0558
Gobierno,,,,,,,,,,,,,,,,,,,,,,,,,,,,3039.6799,,17102.6048,,1397.24164,,25141.2771,3713.331098,1517.945306,24643.88123,1092.238909,,,,77648.19999
Cont_soc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13972.4164,,,,,,,,,,,,,13972.4164
Pres_soc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7943.0668,9438.7514,,,,,,,,,,,17381.8182
Imp_dir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4377.3673,20763.9098,,,,,,,,,,,,25141.2771
Imp_prod,112.5376438,226.0635903,368.545044,327.5061625,185.1145904,595.7812397,-667.0071204,462.9609827,1572.900897,173.2418584,326.2162426,29.4699668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3713.331098
Imptos_Espec,,,,,,,,,,,,,0,0,1517.945306,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1517.945306
IVA,,,,,,,,,,,,,927.8127332,0.894931749,15190.06729,979.3444365,1183.930791,1779.893582,1475.81277,674.2272253,361.0672163,1385.839108,684.9911486,0,0,,,,,,,,,,,,,,,,,24643.88123
Arancel,,,,,,,,,,,,,55.17789507,27.77205959,1008.830872,0,0,0,0.458083219,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1092.238909
row,,,,,,,,,,,,,1869.484815,9307.865231,80107.97053,2.500637429,1.270990595,253.9385167,4260.131632,3079.409821,171.9211936,3590.482855,39.05065938,0,1476.7075,,,,,,,,,,,,,,,,,104160.7344
S-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8972.3538,52857.7165,6036.6548,,,,,,,,,,,67866.7251
Var_Exis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.2999861,,408.2999861
Total,23394.99486,59539.88886,92693.7644,15960.9423,37145.8707,61479.88399,47166.59504,21805.28531,25667.14376,36788.70867,45689.43277,16495.8224,29286.51246,65843.51437,224097.3389,16602.66542,38115.32995,16049.01306,52663.75983,23982.00224,27605.97574,58914.97525,44999.48529,15605.85294,1476.7075,0,102890.9723,139699.074,194276.5894,117401.0556,77648.20003,13972.4164,17381.8182,25141.2771,3713.331098,1517.945306,24643.88123,1092.238909,104160.7343,67866.7252,408.2999861,
